# Downloaded from https://figshare.com/articles/dataset/OKCupid_Datasets/14987388
d_age,d_gender,q36355,q45632,q49093,q45835,q12584
48,Man,Yes.,No.,Utterly wrong.,Sun,No
25,Man,Yes.,No.,Perfectly fine.,Cloudy,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
34,Woman,No.,No.,OK sometimes.,Sun,Yes
43,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Man,No.,No.,Utterly wrong.,Sun,Yes
27,Man,No.,No.,Utterly wrong.,Snow,Yes
36,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
34,Man,No.,No.,OK sometimes.,Sun,Yes
36,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,No
31,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
26,Man,No.,No.,Utterly wrong.,Snow,Yes
29,Woman,No.,No.,Utterly wrong.,Sun,No
36,Man,No.,No.,Utterly wrong.,Sun,Yes
43,Woman,Yes.,No.,Perfectly fine.,Rain,No
53,Other,Yes.,No.,Not a subject I have an opinion on.,Sun,No
41,Man,Yes.,No.,Utterly wrong.,Sun,Yes
23,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Perfectly fine.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,No
38,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
37,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
33,Man,Yes.,Yes.,Not a subject I have an opinion on.,Rain,Yes
56,Man,No.,No.,Utterly wrong.,Sun,Yes
47,Man,No.,No.,Utterly wrong.,Sun,No
37,Woman,No.,No.,Utterly wrong.,Sun,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Man,No.,No.,Utterly wrong.,Rain,Yes
25,Man,No.,No.,OK sometimes.,Rain,Yes
26,Man,No.,No.,OK sometimes.,Sun,Yes
22,Man,No.,No.,Not a subject I have an opinion on.,Rain,No
42,Man,No.,No.,OK sometimes.,Sun,Yes
31,Woman,Yes.,No.,Utterly wrong.,Rain,Yes
50,Man,No.,No.,Perfectly fine.,Sun,Yes
38,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
48,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Man,No.,No.,Utterly wrong.,Rain,Yes
28,Man,Yes.,No.,Perfectly fine.,Cloudy,Yes
33,Man,No.,No.,Utterly wrong.,Sun,Yes
49,Man,No.,No.,Utterly wrong.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
28,Woman,No.,No.,OK sometimes.,Cloudy,Yes
42,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
33,Man,No.,No.,Utterly wrong.,Cloudy,No
31,Woman,No.,No.,OK sometimes.,Rain,Yes
43,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,Perfectly fine.,Sun,No
39,Man,No.,No.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Utterly wrong.,Sun,Yes
46,Man,No.,No.,Utterly wrong.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Sun,Yes
27,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
26,Man,No.,No.,Utterly wrong.,Cloudy,Yes
35,Man,Yes.,No.,Perfectly fine.,Sun,Yes
31,Man,No.,Yes.,Utterly wrong.,Rain,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Man,Yes.,No.,Utterly wrong.,Cloudy,Yes
21,Woman,No.,No.,Utterly wrong.,Sun,Yes
50,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
48,Man,Yes.,No.,Utterly wrong.,Sun,Yes
27,Man,Yes.,No.,OK sometimes.,Snow,No
48,Man,Yes.,No.,Perfectly fine.,Cloudy,No
21,Man,Yes.,No.,Perfectly fine.,Rain,No
33,Man,Yes.,Yes.,Not a subject I have an opinion on.,Cloudy,Yes
21,Other,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
26,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
27,Man,Yes.,No.,Perfectly fine.,Sun,Yes
39,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
31,Man,Yes.,Yes.,Utterly wrong.,Cloudy,No
31,Woman,No.,No.,OK sometimes.,Sun,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
37,Man,No.,Yes.,OK sometimes.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
34,Woman,No.,Yes.,Utterly wrong.,Sun,No
24,Woman,No.,No.,Utterly wrong.,Sun,Yes
32,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,No
32,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
36,Man,Yes.,No.,OK sometimes.,Rain,Yes
37,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
39,Man,Yes.,No.,Utterly wrong.,Sun,Yes
34,Woman,No.,No.,Utterly wrong.,Rain,Yes
32,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
40,Man,No.,Yes.,OK sometimes.,Sun,No
29,Man,Yes.,Yes.,OK sometimes.,Rain,Yes
26,Man,No.,No.,Utterly wrong.,Sun,Yes
44,Man,No.,No.,Utterly wrong.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Utterly wrong.,Sun,No
26,Woman,Yes.,No.,OK sometimes.,Sun,Yes
34,Man,No.,No.,Utterly wrong.,Sun,Yes
42,Man,Yes.,No.,Utterly wrong.,Sun,Yes
26,Woman,No.,No.,Utterly wrong.,Snow,Yes
45,Man,Yes.,No.,OK sometimes.,Sun,Yes
44,Man,Yes.,No.,Utterly wrong.,Sun,Yes
58,Man,No.,No.,OK sometimes.,Cloudy,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
42,Man,No.,No.,Utterly wrong.,Sun,Yes
25,Man,No.,No.,Perfectly fine.,Sun,Yes
27,Woman,No.,No.,Utterly wrong.,Rain,Yes
45,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
40,Man,No.,No.,Utterly wrong.,Sun,Yes
27,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
24,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
34,Woman,No.,No.,Perfectly fine.,Snow,Yes
31,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
42,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
33,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
46,Man,Yes.,No.,Utterly wrong.,Sun,Yes
30,Man,Yes.,No.,OK sometimes.,Sun,No
54,Man,Yes.,Yes.,Perfectly fine.,Sun,Yes
24,Man,Yes.,Yes.,OK sometimes.,Snow,Yes
26,Man,No.,No.,Utterly wrong.,Cloudy,No
25,Woman,No.,No.,Utterly wrong.,Cloudy,No
30,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
30,Man,No.,No.,Utterly wrong.,Rain,Yes
43,Woman,No.,No.,OK sometimes.,Snow,No
29,Woman,No.,No.,Utterly wrong.,Sun,Yes
36,Woman,No.,Yes.,OK sometimes.,Snow,Yes
31,Man,Yes.,Yes.,Utterly wrong.,Snow,Yes
30,Man,No.,No.,OK sometimes.,Sun,Yes
41,Man,Yes.,Yes.,Utterly wrong.,Cloudy,Yes
40,Man,Yes.,No.,OK sometimes.,Cloudy,Yes
28,Man,No.,No.,Utterly wrong.,Sun,Yes
43,Man,No.,Yes.,Not a subject I have an opinion on.,Rain,No
21,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Woman,Yes.,No.,Utterly wrong.,Rain,Yes
45,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Utterly wrong.,Sun,Yes
57,Man,No.,No.,Utterly wrong.,Sun,No
36,Man,No.,Yes.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Utterly wrong.,Sun,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Man,Yes.,No.,Not a subject I have an opinion on.,Snow,No
51,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
26,Woman,Yes.,No.,OK sometimes.,Cloudy,Yes
34,Woman,Yes.,No.,Perfectly fine.,Sun,No
35,Man,Yes.,No.,Perfectly fine.,Rain,Yes
37,Man,No.,No.,Utterly wrong.,Sun,No
31,Woman,No.,No.,OK sometimes.,Snow,Yes
50,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,No
42,Man,No.,Yes.,Utterly wrong.,Cloudy,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,Yes
27,Man,Yes.,No.,Utterly wrong.,Rain,Yes
35,Woman,No.,No.,Utterly wrong.,Sun,Yes
36,Woman,Yes.,Yes.,Utterly wrong.,Sun,Yes
31,Woman,No.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,Yes.,Utterly wrong.,Sun,Yes
34,Man,Yes.,No.,Utterly wrong.,Snow,Yes
25,Man,Yes.,No.,OK sometimes.,Cloudy,Yes
27,Man,No.,No.,OK sometimes.,Sun,Yes
26,Man,No.,No.,OK sometimes.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Rain,Yes
33,Woman,No.,No.,Perfectly fine.,Sun,Yes
49,Man,No.,Yes.,Not a subject I have an opinion on.,Cloudy,Yes
46,Man,No.,No.,Not a subject I have an opinion on.,Snow,No
31,Woman,No.,No.,OK sometimes.,Sun,No
34,Woman,No.,No.,OK sometimes.,Sun,No
40,Man,No.,No.,Utterly wrong.,Sun,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
47,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
33,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
27,Man,Yes.,No.,Utterly wrong.,Sun,Yes
36,Man,Yes.,No.,OK sometimes.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Snow,Yes
37,Man,No.,No.,Utterly wrong.,Sun,Yes
32,Woman,No.,No.,Utterly wrong.,Snow,Yes
26,Woman,No.,No.,Utterly wrong.,Rain,No
35,Woman,No.,No.,Utterly wrong.,Snow,Yes
26,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
27,Man,Yes.,Yes.,Not a subject I have an opinion on.,Cloudy,No
32,Woman,No.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
34,Man,Yes.,No.,Utterly wrong.,Sun,No
33,Woman,No.,No.,OK sometimes.,Sun,Yes
49,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
44,Man,No.,No.,Perfectly fine.,Sun,Yes
34,Man,No.,Yes.,Perfectly fine.,Sun,Yes
43,Man,No.,No.,OK sometimes.,Cloudy,Yes
33,Man,No.,No.,Utterly wrong.,Snow,Yes
41,Man,Yes.,No.,Not a subject I have an opinion on.,Snow,Yes
22,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
37,Man,No.,Yes.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Utterly wrong.,Cloudy,No
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
40,Man,Yes.,No.,Utterly wrong.,Sun,No
33,Woman,No.,Yes.,OK sometimes.,Sun,Yes
27,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
32,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
41,Man,No.,No.,OK sometimes.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
53,Man,No.,No.,OK sometimes.,Sun,Yes
33,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
37,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
34,Man,Yes.,No.,Utterly wrong.,Snow,Yes
33,Man,No.,No.,Perfectly fine.,Cloudy,No
39,Woman,No.,No.,Utterly wrong.,Rain,Yes
44,Man,Yes.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,Yes.,Utterly wrong.,Rain,No
42,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
40,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
29,Man,Yes.,No.,Perfectly fine.,Rain,Yes
40,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Rain,No
27,Man,No.,Yes.,Utterly wrong.,Rain,Yes
26,Woman,Yes.,No.,Perfectly fine.,Rain,Yes
28,Woman,No.,No.,OK sometimes.,Sun,Yes
31,Man,Yes.,No.,Utterly wrong.,Cloudy,Yes
50,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
49,Woman,No.,No.,OK sometimes.,Cloudy,Yes
53,Woman,No.,No.,Utterly wrong.,Sun,Yes
62,Man,No.,No.,Perfectly fine.,Sun,Yes
33,Man,No.,No.,Utterly wrong.,Rain,Yes
39,Woman,No.,Yes.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Snow,No
28,Woman,No.,No.,Utterly wrong.,Sun,No
39,Man,Yes.,Yes.,Utterly wrong.,Sun,Yes
43,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
39,Man,No.,Yes.,Not a subject I have an opinion on.,Rain,No
24,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
49,Man,No.,No.,OK sometimes.,Sun,Yes
36,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
40,Man,No.,No.,Utterly wrong.,Snow,Yes
34,Man,No.,No.,Perfectly fine.,Snow,Yes
47,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Woman,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
45,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Man,No.,No.,Utterly wrong.,Rain,Yes
41,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
34,Woman,No.,Yes.,Utterly wrong.,Cloudy,Yes
28,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
38,Man,Yes.,No.,Utterly wrong.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Snow,Yes
28,Man,No.,No.,Perfectly fine.,Cloudy,No
31,Man,No.,No.,Utterly wrong.,Sun,Yes
50,Man,No.,No.,Utterly wrong.,Sun,Yes
34,Man,No.,No.,OK sometimes.,Sun,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
44,Woman,No.,No.,Utterly wrong.,Sun,Yes
26,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
34,Woman,No.,No.,Utterly wrong.,Sun,Yes
25,Man,No.,Yes.,Not a subject I have an opinion on.,Snow,Yes
58,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
35,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
22,Man,Yes.,Yes.,OK sometimes.,Rain,Yes
24,Man,Yes.,Yes.,Utterly wrong.,Rain,Yes
35,Woman,No.,No.,Utterly wrong.,Sun,Yes
45,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
32,Woman,No.,No.,Not a subject I have an opinion on.,Sun,No
31,Man,No.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
25,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
40,Man,No.,Yes.,Not a subject I have an opinion on.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
35,Man,Yes.,No.,OK sometimes.,Sun,Yes
29,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
54,Woman,No.,No.,Perfectly fine.,Snow,Yes
34,Man,No.,Yes.,Utterly wrong.,Rain,Yes
27,Man,Yes.,No.,Utterly wrong.,Rain,Yes
43,Woman,No.,No.,OK sometimes.,Sun,Yes
40,Woman,No.,No.,OK sometimes.,Sun,Yes
35,Man,No.,No.,Utterly wrong.,Rain,Yes
34,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,No
29,Man,No.,No.,Utterly wrong.,Cloudy,No
28,Man,Yes.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
41,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
35,Man,No.,No.,OK sometimes.,Sun,Yes
32,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
24,Woman,No.,No.,Not a subject I have an opinion on.,Snow,Yes
42,Woman,No.,Yes.,OK sometimes.,Sun,Yes
43,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
29,Man,Yes.,No.,OK sometimes.,Rain,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
24,Woman,No.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Woman,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,Yes.,No.,Utterly wrong.,Cloudy,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Perfectly fine.,Rain,No
28,Woman,Yes.,No.,OK sometimes.,Cloudy,Yes
42,Man,Yes.,No.,Utterly wrong.,Snow,No
35,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
32,Man,No.,Yes.,OK sometimes.,Sun,Yes
31,Woman,No.,No.,Utterly wrong.,Sun,Yes
27,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
20,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,No
33,Man,Yes.,No.,Perfectly fine.,Sun,Yes
40,Woman,No.,No.,Not a subject I have an opinion on.,Sun,No
31,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
49,Man,No.,No.,Utterly wrong.,Snow,Yes
29,Woman,No.,No.,Utterly wrong.,Sun,Yes
33,Man,Yes.,No.,OK sometimes.,Cloudy,Yes
25,Woman,Yes.,No.,Utterly wrong.,Cloudy,Yes
35,Man,Yes.,Yes.,Utterly wrong.,Rain,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
34,Man,No.,No.,Utterly wrong.,Sun,Yes
32,Woman,Yes.,No.,OK sometimes.,Snow,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
27,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
37,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
42,Man,Yes.,No.,Utterly wrong.,Sun,No
33,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
39,Woman,No.,No.,Utterly wrong.,Sun,No
34,Man,No.,Yes.,Utterly wrong.,Sun,Yes
43,Man,No.,No.,OK sometimes.,Sun,Yes
41,Man,No.,No.,OK sometimes.,Sun,Yes
41,Man,No.,No.,Perfectly fine.,Snow,Yes
41,Man,No.,No.,Perfectly fine.,Snow,No
36,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
48,Woman,No.,No.,Utterly wrong.,Rain,Yes
47,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
20,Man,Yes.,No.,OK sometimes.,Sun,Yes
42,Man,No.,Yes.,Utterly wrong.,Rain,No
34,Man,No.,No.,Perfectly fine.,Sun,Yes
26,Man,Yes.,No.,Utterly wrong.,Sun,Yes
38,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
35,Man,No.,No.,Utterly wrong.,Sun,No
23,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
42,Man,No.,No.,OK sometimes.,Sun,Yes
40,Man,No.,Yes.,OK sometimes.,Rain,No
33,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,Yes.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Utterly wrong.,Sun,No
27,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
28,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
29,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
53,Man,No.,No.,OK sometimes.,Sun,Yes
52,Man,No.,No.,Perfectly fine.,Sun,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Not a subject I have an opinion on.,Snow,No
36,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
35,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
27,Woman,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
38,Woman,No.,No.,OK sometimes.,Sun,No
44,Man,No.,No.,Utterly wrong.,Sun,Yes
35,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,Utterly wrong.,Rain,Yes
38,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
34,Man,No.,Yes.,Utterly wrong.,Rain,Yes
39,Man,No.,Yes.,Utterly wrong.,Rain,No
37,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Man,Yes.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,OK sometimes.,Cloudy,Yes
23,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
34,Woman,No.,No.,Utterly wrong.,Rain,Yes
35,Man,No.,Yes.,Not a subject I have an opinion on.,Sun,Yes
39,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
29,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
30,Man,No.,No.,Utterly wrong.,Sun,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Woman,No.,No.,OK sometimes.,Sun,Yes
24,Man,No.,No.,OK sometimes.,Sun,No
28,Man,No.,No.,Utterly wrong.,Sun,Yes
32,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
26,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
32,Man,No.,No.,Utterly wrong.,Rain,No
38,Woman,No.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Woman,Yes.,No.,Utterly wrong.,Cloudy,Yes
26,Man,No.,Yes.,OK sometimes.,Sun,Yes
38,Woman,No.,No.,Perfectly fine.,Sun,Yes
31,Woman,No.,No.,Utterly wrong.,Sun,No
33,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,Yes.,Utterly wrong.,Snow,Yes
25,Woman,No.,No.,Utterly wrong.,Sun,Yes
31,Woman,No.,No.,Utterly wrong.,Sun,Yes
25,Man,Yes.,No.,Utterly wrong.,Cloudy,Yes
20,Woman,Yes.,Yes.,Utterly wrong.,Rain,Yes
37,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Man,No.,Yes.,Perfectly fine.,Cloudy,Yes
24,Woman,No.,No.,Utterly wrong.,Rain,Yes
33,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
34,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
31,Man,No.,No.,Utterly wrong.,Snow,No
27,Man,No.,Yes.,OK sometimes.,Cloudy,Yes
38,Man,Yes.,Yes.,Perfectly fine.,Rain,Yes
30,Man,Yes.,No.,Perfectly fine.,Rain,No
31,Man,Yes.,No.,Utterly wrong.,Sun,Yes
22,Woman,No.,No.,Utterly wrong.,Sun,Yes
35,Man,No.,No.,Utterly wrong.,Cloudy,Yes
24,Man,No.,No.,Not a subject I have an opinion on.,Rain,No
25,Woman,Yes.,No.,OK sometimes.,Rain,No
23,Man,No.,Yes.,Perfectly fine.,Cloudy,No
35,Man,No.,Yes.,Utterly wrong.,Sun,Yes
26,Man,No.,No.,OK sometimes.,Cloudy,Yes
42,Man,No.,No.,Utterly wrong.,Sun,Yes
24,Man,No.,No.,Utterly wrong.,Sun,Yes
28,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
27,Man,No.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,OK sometimes.,Sun,Yes
34,Man,No.,No.,Perfectly fine.,Snow,Yes
32,Man,No.,No.,Utterly wrong.,Snow,Yes
45,Man,No.,No.,OK sometimes.,Sun,Yes
26,Man,Yes.,No.,Utterly wrong.,Rain,Yes
34,Man,No.,No.,Utterly wrong.,Sun,Yes
41,Man,No.,No.,OK sometimes.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,No
44,Man,No.,No.,Utterly wrong.,Snow,Yes
39,Man,No.,No.,Utterly wrong.,Sun,Yes
31,Woman,Yes.,No.,OK sometimes.,Rain,No
19,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Woman,Yes.,No.,OK sometimes.,Cloudy,Yes
43,Woman,No.,No.,Utterly wrong.,Sun,Yes
34,Man,No.,No.,Perfectly fine.,Sun,Yes
31,Man,No.,No.,Utterly wrong.,Sun,Yes
32,Woman,No.,No.,Not a subject I have an opinion on.,Rain,No
44,Man,No.,No.,Utterly wrong.,Sun,Yes
48,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Man,Yes.,No.,Utterly wrong.,Sun,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
23,Man,Yes.,No.,Utterly wrong.,Rain,Yes
42,Woman,No.,No.,Utterly wrong.,Sun,Yes
34,Man,No.,Yes.,Not a subject I have an opinion on.,Sun,No
26,Man,No.,No.,OK sometimes.,Rain,Yes
25,Woman,Yes.,Yes.,Utterly wrong.,Rain,Yes
24,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
50,Man,No.,No.,Utterly wrong.,Sun,Yes
41,Man,No.,No.,Perfectly fine.,Cloudy,No
47,Man,Yes.,No.,OK sometimes.,Rain,Yes
34,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Utterly wrong.,Rain,Yes
39,Woman,No.,No.,Utterly wrong.,Sun,Yes
42,Man,No.,No.,Utterly wrong.,Sun,No
34,Man,No.,No.,OK sometimes.,Sun,Yes
38,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
34,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
43,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,OK sometimes.,Sun,Yes
25,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
32,Woman,No.,No.,Utterly wrong.,Rain,No
25,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Woman,Yes.,No.,Utterly wrong.,Cloudy,Yes
28,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
38,Man,Yes.,No.,Perfectly fine.,Sun,Yes
36,Man,Yes.,Yes.,Not a subject I have an opinion on.,Cloudy,Yes
22,Man,No.,No.,Utterly wrong.,Cloudy,No
30,Woman,No.,No.,Utterly wrong.,Rain,Yes
33,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,No
37,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
